LR;SV_RAW;SV;DIST;SERIES
0,0348;16979;16929;2;at noozle
0,0348;17317;17267;2;at noozle
0,0348;18364;18314;2;at noozle
0,0348;15940;15890;2;at noozle
0,0348;12895;12845;2;at noozle
0,0348;9183;9133;2;at noozle
0,0348;10253;10203;2;at noozle
0,0348;11401;11351;2;at noozle
0,0348;12108;12058;2;at noozle
0,0348;15012;14962;2;at noozle
0,0348;17363;17313;2;at noozle
0,0348;15703;15653;2;at noozle
0,0348;12391;12341;2;at noozle
0,0348;12649;12599;2;at noozle
0,0348;12727;12677;2;at noozle
0,0348;13584;13534;2;at noozle
0,0348;15216;15166;2;at noozle
0,0348;12369;12319;2;at noozle
0,0348;13424;13374;2;at noozle
0,0348;12752;12702;2;at noozle
0,0348;13003;12953;2;at noozle
0,0348;13088;13038;2;at noozle
0,0348;12617;12567;2;at noozle
0,0348;12971;12921;2;at noozle
0,0348;17468;17418;2;at noozle
0,0348;16015;15965;2;at noozle
0,0348;14770;14720;2;at noozle
0,0348;12569;12519;2;at noozle
0,0348;11144;11094;2;at noozle
0,0348;12861;12811;2;at noozle
0,0348;16562;16512;2;at noozle
0,0348;12796;12746;2;at noozle
0,0348;12626;12576;2;at noozle
0,0348;17923;17873;2;at noozle
0,0348;16433;16383;2;at noozle
0,0348;16282;16232;2;at noozle
0,0348;14221;14171;2;at noozle
0,0348;17576;17526;2;at noozle
0,0348;15261;15211;2;at noozle
0,0348;16993;16943;2;at noozle
0,0348;16084;16034;2;at noozle
0,0348;15452;15402;2;at noozle
0,0348;16023;15973;2;at noozle
0,0348;13400;13350;2;at noozle
0,0348;16841;16791;2;at noozle
0,0348;16232;16182;2;at noozle
0,0348;15245;15195;2;at noozle
0,0348;18688;18638;2;at noozle
0,057;11160;11110;2;at noozle
0,057;11697;11647;2;at noozle
0,057;11069;11019;2;at noozle
0,057;10851;10801;2;at noozle
0,057;12801;12751;2;at noozle
0,057;11379;11329;2;at noozle
0,057;9965;9915;2;at noozle
0,057;9870;9820;2;at noozle
0,057;11539;11489;2;at noozle
0,057;10779;10729;2;at noozle
0,057;10092;10042;2;at noozle
0,057;12261;12211;2;at noozle
0,057;14331;14281;2;at noozle
0,057;13082;13032;2;at noozle
0,057;13727;13677;2;at noozle
0,057;12726;12676;2;at noozle
0,057;12128;12078;2;at noozle
0,057;14692;14642;2;at noozle
0,057;12934;12884;2;at noozle
0,057;11906;11856;2;at noozle
0,057;10972;10922;2;at noozle
0,057;10857;10807;2;at noozle
0,057;9878;9828;2;at noozle
0,057;11601;11551;2;at noozle
0,057;15222;15172;2;at noozle
0,057;16411;16361;2;at noozle
0,057;13229;13179;2;at noozle
0,057;10248;10198;2;at noozle
0,057;11533;11483;2;at noozle
0,057;13434;13384;2;at noozle
0,057;11895;11845;2;at noozle
0,057;10322;10272;2;at noozle
0,057;9676;9626;2;at noozle
0,057;9204;9154;2;at noozle
0,057;8443;8393;2;at noozle
0,057;9244;9194;2;at noozle
0,057;9572;9522;2;at noozle
0,057;10453;10403;2;at noozle
0,057;9634;9584;2;at noozle
0,057;11361;11311;2;at noozle
0,057;11202;11152;2;at noozle
0,057;11610;11560;2;at noozle
0,057;10311;10261;2;at noozle
0,057;10212;10162;2;at noozle
0,057;11016;10966;2;at noozle
0,057;9720;9670;2;at noozle
0,057;10190;10140;2;at noozle
0,057;9629;9579;2;at noozle
0,057;10897;10847;2;at noozle
0,057;9902;9852;2;at noozle
0,057;9713;9663;2;at noozle
0,057;11392;11342;2;at noozle
0,057;10333;10283;2;at noozle
0,057;9159;9109;2;at noozle
0,057;9589;9539;2;at noozle
0,057;9363;9313;2;at noozle
