LR;SV;DIST
1;4497;4
1;4294;4
1;3697;4
1;2845;4
1;2862;4
1;3519;4
1;4633;4
1;5705;4
1;5341;4
1;5596;4
1;6081;4
1;5982;4
1;6291;4
1;5686;4
1;5651;4
1;5197;4
1;4505;4
1;4466;4
1;4080;4
1;3816;4
1;3914;4
1;3315;4
1;2767;4
1;3027;4
1;3569;4
1;4013;4
1;4229;4
1;3681;4
1;3430;4
1;4163;4
1;4550;4
1;4609;4
1;4193;4
1;4550;4
1;5185;4
1;4394;4
1;4431;4
1;5661;4
1;5709;4
1;5925;4
1;5896;4
1;5810;4
1;4963;4
1;5450;4
1;5400;4
1;5079;4
1;5824;4
1;5490;4
1;5628;4
1;5832;4
1;5727;4
1;4634;4
1;4747;4
1;5162;4
1;5233;4
1;5101;4
1;5471;4
1;5276;4
1;5455;4
1;5144;4
1;5096;4
1;4803;4
2;5095;4
2;5451;4
2;5037;4
2;4053;4
2;3912;4
2;3070;4
2;2590;4
2;2858;4
2;3054;4
2;3241;4
2;2974;4
2;3409;4
2;3551;4
2;3554;4
2;4551;4
2;5234;4
2;5635;4
2;5291;4
2;5710;4
2;6070;4
2;6236;4
2;6344;4
2;6235;4
2;6029;4
2;6136;4
2;4749;4
2;3624;4
2;4128;4
2;4612;4
2;4778;4
2;4989;4
2;5416;4
2;5645;4
2;4476;4
2;4883;4
2;4966;4
2;4217;4
2;5281;4
2;6762;4
2;6548;4
2;6574;4
2;6506;4
2;6413;4
2;6167;4
2;6298;4
2;6006;4
2;4331;4
2;3932;4
2;3807;4
2;4724;4
2;5931;4
2;5891;4
2;4693;4
2;5077;4
2;4603;4
2;5434;4
2;4360;4
2;4229;4
2;5627;4
2;6180;4
2;6002;4
2;5289;4
2;5643;4
2;5252;4
2;5691;4
2;5520;4
2;5868;4
2;5826;4
2;5836;4
2;6042;4
2;5991;4
2;6052;4
2;6443;4
2;6192;4
2;6145;4
2;6317;4
2;5349;4
2;4430;4
2;4972;4
2;6153;4
2;5071;4
2;3354;4
2;3619;4
2;4549;4
2;4513;4
2;4036;4
2;4566;4
2;4738;4
2;4177;4
2;3800;4
2;4763;4
2;4861;4
2;3771;4
2;3403;4
2;3825;4
2;4082;4
2;3907;4
2;3616;4
2;3011;4
2;4218;4
2;4499;4
2;3851;4
3;5600;4
3;6438;4
3;7115;4
3;7004;4
3;6063;4
3;4228;4
3;4204;4
3;4598;4
3;4914;4
3;4634;4
3;4743;4
3;4578;4
3;4663;4
3;5554;4
3;6285;4
3;5625;4
3;5068;4
3;5426;4
3;5731;4
3;6149;4
3;6462;4
3;6548;4
3;6330;4
3;6339;4
3;5944;4
3;6499;4
3;6482;4
3;6812;4
3;6329;4
3;4542;4
3;3950;4
3;4250;4
3;4564;4
3;5389;4
3;5607;4
3;4547;4
3;4701;4
3;4826;4
3;5248;4
3;5512;4
3;6249;4
3;6735;4
3;5411;4
3;5070;4
3;4335;4
3;3718;4
3;4069;4
3;3897;4
3;4197;4
3;4884;4
3;5502;4
3;5830;4
3;5018;4
3;4979;4
3;5427;4
3;5268;4
3;5279;4
3;5131;4
3;4941;4
3;5111;4
3;6171;4
3;6218;4
3;5218;4
3;5121;4
3;3542;4
3;2294;4
3;3116;4
3;4203;4
3;3594;4
3;4213;4
3;5060;4
3;5719;4
3;5961;4
3;5844;4
3;6185;4
3;6648;4
3;6782;4
3;6536;4
3;6559;4
3;6763;4
3;6650;4
3;6255;4
3;5831;4
3;6157;4
3;5990;4
3;5472;4
3;5343;4
3;4719;4
3;4578;4
3;4983;4
3;4864;4
3;4550;4
3;3971;4
3;3401;4
3;3516;4
3;4372;4
3;4285;4
3;3900;4
3;3406;4
3;3339;4
3;3983;4
3;3965;4
4;6089;4
4;5443;4
4;4952;4
4;4147;4
4;3601;4
4;3972;4
4;4549;4
4;5298;4
4;6176;4
4;6491;4
4;6391;4
4;6292;4
4;6294;4
4;6306;4
4;6356;4
4;6427;4
4;6520;4
4;6082;4
4;5686;4
4;5796;4
4;5946;4
4;5942;4
4;5769;4
4;5412;4
4;5337;4
4;5364;4
4;5776;4
4;5826;4
4;5909;4
4;5790;4
4;6035;4
4;6332;4
4;6564;4
4;6314;4
4;5272;4
